id,route_id,"mbta_direction_id","mbta_direction_name"
1,1,"0","Westbound"
2,1,"1","Eastbound"
3,2,"0","Westbound"
4,2,"1","Eastbound"
5,3,"0","Westbound"
6,3,"1","Eastbound"
7,4,"0","Westbound"
8,4,"1","Eastbound"
9,5,"0","Outbound"
10,5,"1","Inbound"
11,6,"0","Westbound"
12,6,"1","Eastbound"
13,7,"0","Southbound"
14,7,"1","Northbound"
15,8,"0","Southbound"
16,8,"1","Northbound"
17,9,"0","Outbound"
18,9,"1","Inbound"
19,10,"0","Outbound"
20,10,"1","Inbound"
21,11,"0","Outbound"
22,11,"1","Inbound"
23,12,"0","Outbound"
24,12,"1","Inbound"
25,13,"0","Outbound"
26,13,"1","Inbound"
27,14,"0","Outbound"
28,14,"1","Inbound"
29,15,"0","Outbound"
30,15,"1","Inbound"
31,16,"0","Outbound"
32,16,"1","Inbound"
33,17,"0","Outbound"
34,17,"1","Inbound"
35,18,"0","Outbound"
36,18,"1","Inbound"
37,19,"0","Outbound"
38,19,"1","Inbound"
39,20,"0","Outbound"
40,20,"1","Inbound"
41,21,"0","Outbound"
42,21,"1","Inbound"
43,22,"0","Outbound"
44,22,"1","Inbound"
45,23,"0","Outbound"
46,23,"1","Inbound"
47,24,"0","Outbound"
48,24,"1","Inbound"
49,25,"0","Outbound"
50,25,"1","Inbound"
51,26,"0","Outbound"
52,26,"1","Inbound"
53,27,"0","Outbound"
54,27,"1","Inbound"
55,28,"0","Outbound"
56,28,"1","Inbound"
57,29,"0","Outbound"
58,29,"1","Inbound"
59,30,"0","Outbound"
60,30,"1","Inbound"
61,31,"0","Outbound"
62,31,"1","Inbound"
63,32,"0","Outbound"
64,32,"1","Inbound"
65,33,"0","Outbound"
66,33,"1","Inbound"
67,34,"0","Outbound"
68,34,"1","Inbound"
69,35,"0","Outbound"
70,35,"1","Inbound"
71,36,"0","Outbound"
72,36,"1","Inbound"
73,37,"0","Outbound"
74,37,"1","Inbound"
75,38,"0","Outbound"
76,38,"1","Inbound"
77,39,"0","Outbound"
78,39,"1","Inbound"
79,40,"0","Outbound"
80,40,"1","Inbound"
81,41,"0","Outbound"
82,41,"1","Inbound"
83,42,"0","Outbound"
84,42,"1","Inbound"
85,43,"0","Outbound"
86,43,"1","Inbound"
87,44,"0","Outbound"
88,44,"1","Inbound"
89,45,"0","Outbound"
90,45,"1","Inbound"
91,46,"0","Outbound"
92,46,"1","Inbound"
93,47,"0","Outbound"
94,47,"1","Inbound"
95,48,"0","Outbound"
96,48,"1","Inbound"
97,49,"0","Outbound"
98,49,"1","Inbound"
99,50,"0","Outbound"
100,50,"1","Inbound"
101,51,"0","Outbound"
102,51,"1","Inbound"
103,52,"0","Outbound"
104,52,"1","Inbound"
105,53,"0","Outbound"
106,53,"1","Inbound"
107,54,"0","Outbound"
108,54,"1","Inbound"
