id,"mbta_route_id","mbta_route_name","mbta_route_type","mbta_mode_name"
1,"Green-B","Green Line B","0","Subway"
2,"Green-C","Green Line C","0","Subway"
3,"Green-D","Green Line D","0","Subway"
4,"Green-E","Green Line E","0","Subway"
5,"Mattapan","Mattapan Trolley","0","Subway"
6,"Blue","Blue Line","1","Subway"
7,"Orange","Orange Line","1","Subway"
8,"Red","Red Line","1","Subway"
9,"CR-Fairmount","Fairmount Line","2","Commuter Rail"
10,"CR-Fitchburg","Fitchburg Line","2","Commuter Rail"
11,"CR-Worcester","Framingham/Worcester Line","2","Commuter Rail"
12,"CR-Franklin","Franklin Line","2","Commuter Rail"
13,"CR-Greenbush","Greenbush Line","2","Commuter Rail"
14,"CR-Haverhill","Haverhill Line","2","Commuter Rail"
15,"CR-Kingston","Kingston/Plymouth Line","2","Commuter Rail"
16,"CR-Lowell","Lowell Line","2","Commuter Rail"
17,"CR-Middleborough","Middleborough/Lakeville Line","2","Commuter Rail"
18,"CR-Needham","Needham Line","2","Commuter Rail"
19,"CR-Newburyport","Newburyport/Rockport Line","2","Commuter Rail"
20,"CR-Providence","Providence/Stoughton Line","2","Commuter Rail"
21,"701","CT1","3","Bus"
22,"747","CT2","3","Bus"
23,"708","CT3","3","Bus"
24,"741","Silver Line SL1","3","Bus"
25,"742","Silver Line SL2","3","Bus"
26,"751","Silver Line SL4","3","Bus"
27,"749","Silver Line SL5","3","Bus"
28,"746","Silver Line Waterfront","3","Bus"
29,"1","1","3","Bus"
30,"4","4","3","Bus"
31,"5","5","3","Bus"
32,"7","7","3","Bus"
33,"8","8","3","Bus"
34,"9","9","3","Bus"
35,"10","10","3","Bus"
36,"11","11","3","Bus"
37,"14","14","3","Bus"
38,"15","15","3","Bus"
39,"16","16","3","Bus"
40,"17","17","3","Bus"
41,"18","18","3","Bus"
42,"19","19","3","Bus"
43,"21","21","3","Bus"
44,"22","22","3","Bus"
45,"23","23","3","Bus"
46,"24","24","3","Bus"
47,"2427","24/27","3","Bus"
48,"26","26","3","Bus"
49,"27","27","3","Bus"
50,"28","28","3","Bus"
51,"29","29","3","Bus"
52,"30","30","3","Bus"
53,"31","31","3","Bus"
54,"32","32","3","Bus"
55,"3233","32/33","3","Bus"
56,"33","33","3","Bus"
57,"34","34","3","Bus"
58,"34E","34E","3","Bus"
59,"35","35","3","Bus"
60,"36","36","3","Bus"
61,"37","37","3","Bus"
62,"3738","37/38","3","Bus"
63,"38","38","3","Bus"
64,"39","39","3","Bus"
65,"40","40","3","Bus"
66,"4050","40/50","3","Bus"
67,"41","41","3","Bus"
68,"42","42","3","Bus"
69,"43","43","3","Bus"
70,"44","44","3","Bus"
71,"45","45","3","Bus"
72,"47","47","3","Bus"
73,"50","50","3","Bus"
74,"51","51","3","Bus"
75,"52","52","3","Bus"
76,"55","55","3","Bus"
77,"57","57","3","Bus"
78,"57A","57A","3","Bus"
79,"59","59","3","Bus"
80,"60","60","3","Bus"
81,"62","62","3","Bus"
82,"627","62/76","3","Bus"
83,"64","64","3","Bus"
84,"65","65","3","Bus"
85,"66","66","3","Bus"
86,"67","67","3","Bus"
87,"68","68","3","Bus"
88,"69","69","3","Bus"
89,"70","70","3","Bus"
90,"70A","70A","3","Bus"
91,"71","71","3","Bus"
92,"72","72","3","Bus"
93,"725","72/75","3","Bus"
94,"73","73","3","Bus"
95,"74","74","3","Bus"
96,"75","75","3","Bus"
97,"76","76","3","Bus"
98,"77","77","3","Bus"
