id,route_id,direction_id,mbta_stop_order,"mbta_stop_id","mbta_stop_name","mbta_parent_station","mbta_parent_station_name"
1,1,1,1,"70210","Lechmere - Inbound","place-lech","Lechmere"
2,1,1,10,"70208","Science Park - Inbound","place-spmnl","Science Park"
3,1,1,20,"70206","North Station - Green Line Inbound","place-north","North Station"
4,1,1,30,"70204","Haymarket - Green Line Inbound","place-haecl","Haymarket"
5,1,1,40,"70202","Government Center - Green Line Westbound","place-gover","Government Center"
6,1,1,50,"70196","Park Street - Green Line - B Branch Berth","place-pktrm","Park Street"
7,1,1,90,"70159","Boylston - Outbound","place-boyls","Boylston"
8,1,1,100,"70157","Arlington - Outbound","place-armnl","Arlington"
9,1,1,110,"70155","Copley - Outbound","place-coecl","Copley"
10,1,1,120,"70153","Hynes - Outbound","place-hymnl","Hynes Convention Center"
11,1,1,130,"70151","Kenmore - Outbound","place-kencl","Kenmore"
12,1,1,140,"70149","Blandford Street - Outbound","place-bland","Blandford Street"
13,1,1,150,"70147","Boston Univ East - Outbound","place-buest","Boston Univ. East"
14,1,1,160,"70145","Boston Univ Central - Outbound","place-bucen","Boston Univ. Central"
15,1,1,170,"70143","Boston Univ West - Outbound","place-buwst","Boston Univ. West"
16,1,1,180,"70141","Saint Paul Street - Outbound","place-stplb","Saint Paul Street"
17,1,1,190,"70139","Pleasant Street - Outbound","place-plsgr","Pleasant Street"
18,1,1,200,"70137","Babcock Street - Outbound","place-babck","Babcock Street"
19,1,1,210,"70135","Packards Corner - Outbound","place-brico","Packards Corner"
20,1,1,220,"70131","Harvard Avenue - Outbound","place-harvd","Harvard Ave."
21,1,1,230,"70129","Griggs Street - Outbound","place-grigg","Griggs Street"
22,1,1,240,"70127","Allston Street - Outbound","place-alsgr","Allston Street"
23,1,1,250,"70125","Warren Street - Outbound","place-wrnst","Warren Street"
24,1,1,260,"70121","Washington Street - Outbound","place-wascm","Washington Street"
25,1,1,270,"70117","Sutherland Road - Outbound","place-sthld","Sutherland Road"
26,1,1,280,"70115","Chiswick Road - Outbound","place-chswk","Chiswick Road"
27,1,1,290,"70113","Chestnut Hill Avenue - Outbound","place-chill","Chestnut Hill Ave."
28,1,1,300,"70111","South Street - Outbound","place-sougr","South Street"
29,1,1,310,"70107","Boston College - Outbound","place-lake","Boston College"
30,1,2,1,"70106","Boston College - Inbound","place-lake","Boston College"
31,1,2,10,"70110","South Street - Inbound","place-sougr","South Street"
32,1,2,20,"70112","Chestnut Hill Avenue - Inbound","place-chill","Chestnut Hill Ave."
33,1,2,30,"70114","Chiswick Road - Inbound","place-chswk","Chiswick Road"
34,1,2,40,"70116","Sutherland Road - Inbound","place-sthld","Sutherland Road"
35,1,2,50,"70120","Washington Street - Inbound","place-wascm","Washington Street"
36,1,2,60,"70124","Warren Street - Inbound","place-wrnst","Warren Street"
37,1,2,70,"70126","Allston Street - Inbound","place-alsgr","Allston Street"
38,1,2,80,"70128","Griggs Street - Inbound","place-grigg","Griggs Street"
39,1,2,90,"70130","Harvard Avenue - Inbound","place-harvd","Harvard Ave."
40,1,2,100,"70134","Packards Corner - Inbound","place-brico","Packards Corner"
41,1,2,110,"70136","Babcock Street - Inbound","place-babck","Babcock Street"
42,1,2,120,"70138","Pleasant Street - Inbound","place-plsgr","Pleasant Street"
43,1,2,130,"70140","Saint Paul Street - Inbound","place-stplb","Saint Paul Street"
44,1,2,140,"70142","Boston Univ West - Inbound","place-buwst","Boston Univ. West"
45,1,2,150,"70144","Boston Univ Central - Inbound","place-bucen","Boston Univ. Central"
46,1,2,160,"70146","Boston Univ East - Inbound","place-buest","Boston Univ. East"
47,1,2,170,"70148","Blandford Street - Inbound","place-bland","Blandford Street"
48,1,2,550,"70150","Kenmore - Inbound","place-kencl","Kenmore"
49,1,2,560,"70152","Hynes - Inbound","place-hymnl","Hynes Convention Center"
50,1,2,570,"70154","Copley - Inbound","place-coecl","Copley"
51,1,2,580,"70156","Arlington - Inbound","place-armnl","Arlington"
52,1,2,590,"70158","Boylston - Inbound","place-boyls","Boylston"
53,1,2,600,"70200","Park Street - Green Line Eastbound","place-pktrm","Park Street"
54,1,2,610,"70201","Government Center - Green Line Eastbound","place-gover","Government Center"
55,1,2,620,"70203","Haymarket - Green Line Outbound","place-haecl","Haymarket"
56,1,2,630,"70205","North Station - Green Line Outbound","place-north","North Station"
57,1,2,640,"70207","Science Park - Outbound","place-spmnl","Science Park"
58,1,2,650,"70209","Lechmere - Outbound","place-lech","Lechmere"
59,2,3,1,"70210","Lechmere - Inbound","place-lech","Lechmere"
60,2,3,10,"70208","Science Park - Inbound","place-spmnl","Science Park"
61,2,3,20,"70206","North Station - Green Line Inbound","place-north","North Station"
62,2,3,30,"70204","Haymarket - Green Line Inbound","place-haecl","Haymarket"
63,2,3,40,"70202","Government Center - Green Line Westbound","place-gover","Government Center"
64,2,3,60,"70197","Park Street - Green Line - C Branch Berth","place-pktrm","Park Street"
65,2,3,90,"70159","Boylston - Outbound","place-boyls","Boylston"
